,Name,price,product url,rating
0,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTk2ODAzNTA4MjMxNTk4OjE2OTI3MjI4MDc6c3BfYXRmOjIwMDYzNzg0NDU4Mzk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1692722807%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.0
1,"Promate Akita-MB 16"" Laptop Messenger Bag, Premium Water-Resistant Shoulder Bag with Secure Quick Access Pocket, Detachable String and Anti-Theft Pocket for Laptops, Documents (Black)","1,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTk2ODAzNTA4MjMxNTk4OjE2OTI3MjI4MDc6c3BfYXRmOjMwMDAzMTEyMzAzNDIzMjo6MDo6&url=%2FPromate-Messenger-Water-Resistant-Detachable-Anti-Theft%2Fdp%2FB07FDXXL2L%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1692722807%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,5.0
2,Skybags Brat Black 46 Cms Casual Backpack,669,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?keywords=bags&qid=1692722807&sr=8-3,4.1
3,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),599,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_4?keywords=bags&qid=1692722807&sr=8-4,3.7
4,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover &amp; Reflective Strips",649,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?keywords=bags&qid=1692722807&sr=8-5,3.9
5,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,399",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODg0NTUwNzY5NjkyNTk4OjE2OTI3MjI4MDg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxMzM0Mjk4MzgzMjo6MDo6&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09CQ5T3LN%26pd_rd_r%3Dc2ecfa9b-d7d7-47f5-b54e-e9972970075e%26pd_rd_w%3DE9ZvY%26pd_rd_wg%3D045He%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3D6MKPQD966PE468WKFDEN%26qid%3D1692722807%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,4.1
6,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment","3,499",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODg0NTUwNzY5NjkyNTk4OjE2OTI3MjI4MDg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTUzOTYyNDIxNDk4OjoxOjo&url=%2FFUR-JADEN-Anti-Theft-Backpack-Professionals%2Fdp%2FB0C28QQMFJ%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0C28QQMFJ%26pd_rd_r%3Dc2ecfa9b-d7d7-47f5-b54e-e9972970075e%26pd_rd_w%3DE9ZvY%26pd_rd_wg%3D045He%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3D6MKPQD966PE468WKFDEN%26qid%3D1692722807%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,4.6
7,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment &amp; Rain Cover,"1,878",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODg0NTUwNzY5NjkyNTk4OjE2OTI3MjI4MDg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTMyMDU4NzMyMjk4Ojo0Ojo&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB0BYW5SH4L%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0BYW5SH4L%26pd_rd_r%3Dc2ecfa9b-d7d7-47f5-b54e-e9972970075e%26pd_rd_w%3DE9ZvY%26pd_rd_wg%3D045He%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3D6MKPQD966PE468WKFDEN%26qid%3D1692722807%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,4.3
8,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue &amp; black),"4,990",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_6?keywords=bags&qid=1692722807&sr=8-6,4.4
9,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men &amp; Women with Separate Shoe Compartment (Grey),599,https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_7?keywords=bags&qid=1692722807&sr=8-7,4.7
